level,algo,success,path_len,path_cost,nodes,time,deaths,avg_risk,max_risk,limited_vis,generated,reason
Level 3,BFS,True,41,45,138,0.000276514287439308,0,0.02380509555172804,0.9998140131725777,False,False,Goal reached.
Level 3,DFS,True,105,113,244,0.0009165285654099925,1,0.009434150017099907,1.0,False,False,Goal reached.
Level 3,UCS,True,41,45,134,0.000566242853113051,0,0.02380509555172804,0.9998140131725777,False,False,Goal reached.
Level 3,Greedy,True,41,45,42,0.0002827571422260787,0,0.02380509555172804,0.9998140131725777,False,False,Goal reached.
