level,algo,success,path_len,path_cost,nodes,time,deaths,avg_risk,max_risk,limited_vis,generated,reason
Level 2,BFS,True,66,66,139,0.00035370001569390297,0,0.01490603858280164,0.9986901260838281,False,False,Goal reached.
Level 2,DFS,True,66,66,223,0.0010458999895490706,1,0.014919053370618194,0.9995765752814368,False,False,Goal reached.
Level 2,UCS,True,66,66,140,0.0007939999923110008,0,0.01490603858280164,0.9986901260838281,False,False,Goal reached.
Level 2,Greedy,True,66,66,138,0.0005444999551400542,0,0.01490603858280164,0.9986901260838281,False,False,Goal reached.
