level,algo,success,path_len,path_cost,nodes,time,deaths,avg_risk,max_risk,limited_vis,generated,reason
Level 4,BFS,True,53,53,142,0.0005898000090382993,0,5.0364744881473465e-52,2.7195762046029365e-50,False,False,Offline fair comparison on Level 4
Level 4,DFS,True,97,97,102,0.0003000999568030238,0,2.775200228162795e-52,2.7195762046029365e-50,False,False,Offline fair comparison on Level 4
Level 4,UCS,True,53,53,142,0.0010020000045187771,0,5.0364744881473465e-52,2.7195762046029365e-50,False,False,Offline fair comparison on Level 4
Level 4,Greedy,True,65,65,88,0.00029250001534819603,0,4.120751853938696e-52,2.7195762046029365e-50,False,False,Offline fair comparison on Level 4
Level 4,A*,True,53,53,124,0.0005253000417724252,0,5.0364744881473465e-52,2.7195762046029365e-50,False,False,Offline fair comparison on Level 4
Random Hard,BFS,True,122,269,353,0.000992799992673099,0,0.09755229205593326,1.0,False,True,Offline fair comparison on generated hard seed 12
Random Hard,DFS,True,122,269,173,0.0004995999624952674,0,0.09755229205593326,1.0,False,True,Offline fair comparison on generated hard seed 12
Random Hard,UCS,True,122,269,354,0.0018795999931171536,0,0.09755229205593326,1.0,False,True,Offline fair comparison on generated hard seed 12
Random Hard,Greedy,True,122,269,303,0.001471900031901896,0,0.09755229205593326,1.0,False,True,Offline fair comparison on generated hard seed 12
Random Hard,A*,True,122,269,330,0.001622399955522269,0,0.09755229205593326,1.0,False,True,Offline fair comparison on generated hard seed 12
