level,algo,success,path_len,path_cost,nodes,time,deaths,avg_risk,max_risk,limited_vis,generated,reason
Level 1,BFS,True,22,40,81,0.0001761857170744666,0,0.08691055960130036,0.9995239492380119,False,False,Goal reached.
Level 1,DFS,True,74,92,86,0.000313271427460547,0,0.02665257182772097,0.9995239492380119,False,False,Goal reached.
Level 1,UCS,True,26,34,90,0.00032692857452535203,0,1.2312651705534226e-16,1.824861819780552e-15,False,False,Goal reached.
Level 1,Greedy,True,22,40,23,6.350000122828143e-05,0,0.08691055960130036,0.9995239492380119,False,False,Goal reached.
Level 1,A*,True,26,34,57,0.00030238571343943477,0,1.2312651705534226e-16,1.824861819780552e-15,False,False,Goal reached.
